"Company Name ","Account Number","Country ","Reporting Year","Ticker Symbol ","ISIN ","Disclosure Score","Performance Band","Parent Account ","Permission","Response Status","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","Country Location"
"Walgreen Company","20398","USA","2013","WAG US","US9314221097","86","C",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Prudential Financial, Inc.","15306","USA","2013","PRU US","US7443201022","63","C",,"Public","AQ*","5,090","70,613","(37.09024, -95.712891)"
"Statoil ASA","23132","Norway","2013","STL NO","NO0010096985","86","B",,"Public","AQ*","15,362,600","409,443","(60.472024, 8.468946)"
"Enbridge Inc.","5581","Canada","2013","ENB CN","CA29250N1050","85","C",,"Public","AQ*","3,091,100","2,982,900","(56.130366, -106.346771)"
"Chunghwa Telecom","3320","Taiwan","2013","2412 TT","TW0002412004","65","D",,"Public","AQ*","23,168.85","785,792.42","(23.69781, 120.960515)"
"Hermes International","8264","France","2013","RMS FP","FR0000052292",,,,,"NR",,,"(46.227638, 2.213749)"
"Lukoil","11043","Russia","2013","LKOH RU","RU0009024277",,,,"Not public","DP",,,"(61.52401, 105.318756)"
"National Australia Bank","12798","Australia","2013","NAB AU","AU000000NAB4","91","A",,"Public","AQ*","25,363","171,767","(-25.274398, 133.775136)"
"adidas AG","21380","Germany","2013","ADS GR","DE000A1EWWW0","86","B",,"Public","AQ*","12,169","57,551","(51.165691, 10.451526)"
"Total","19257","France","2013","FP FP","FR0000120271","81","C",,"Public","AQ*","47,000,000","4,400,000","(46.227638, 2.213749)"
"CLP Holdings Limited","3503","Hong Kong","2013","2 HK","HK0002007356","94","B",,"Public","AQ*","38,245,000","219,000","(22.396428, 114.109497)"
"Intesa Sanpaolo S.p.A","9363","Italy","2013","ISP IM","IT0000072618","92","B",,"Public","AQ*","58,993.85","54,539.09","(41.87194, 12.56738)"
"Samsung Electronics","16191","South Korea","2013","005930 KS","KR7005930003","99","A",,"Public","AQ*","2,098,438","5,388,036","(35.907757, 127.766922)"
"The Home Depot, Inc.","8526","USA","2013","HD US","US4370761029","99","A-",,"Public","AQ*","250,224","2,529,646","(37.09024, -95.712891)"
"Las Vegas Sands Corporation","10494","USA","2013","LVS US","US5178341070","98","A-",,"Public","AQ*","225,157","821,527","(37.09024, -95.712891)"
"GlaxoSmithKline","7374","United Kingdom","2013","GSK LN","GB0009252882","98","A",,"Public","AQ*","1,005,447","804,283","(55.378051, -3.435973)"
"Air Liquide","432","France","2013","AI FP","FR0000120073","88","B",,"Public","AQ*","11,272,000","10,853,000","(46.227638, 2.213749)"
"Sberbank Rossii","16386","Russia","2013","SBER RM","RU0009029540",,,,,"NR",,,"(61.52401, 105.318756)"
"Sasol Limited","16366","South Africa","2013","SOL SJ","ZAE000006896","96","B",,"Public","AQ*","66,895,000","8,553,000","(-30.559482, 22.937506)"
"Bank of America","1452","USA","2013","BAC US","US0605051046","98","A",,"Public","AQ*","116,666","1,421,829","(37.09024, -95.712891)"
"Danaher Corporation","4289","USA","2013","DHR US","US2358511028","12",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Vinci","20205","France","2013","DG FP","FR0000125486","93","B",,"Public","AQ*","2,195,535","193,548","(46.227638, 2.213749)"
"Ping An Insurance Company of China","14780","China","2013","2318 HK","CNE1000003X6",,,,"Public","AQ*",,,"(35.86166, 104.195397)"
"Discover Financial Services","4768","USA","2013","DFS US","US2547091080",,,,"Public","IN",,,"(37.09024, -95.712891)"
"EOG Resources, Inc.","5767","USA","2013","EOG US","US26875P1012",,,,"Public","AQ*",,,"(37.09024, -95.712891)"
"Standard Chartered","17624","United Kingdom","2013","STAN LN","GB0004082847","91","B",,"Public","AQ*","26,560","229,122","(55.378051, -3.435973)"
"Femsa - Fomento Economico Mexicano","22113","Mexico","2013","FEMSAUBD MM","MXP320321310","73","C",,"Not public","AQ*",,,"(23.634501, -102.552784)"
"Atlas Copco","1144","Sweden","2013","ATCOA SS","SE0000101032","93","B",,"Public","AQ*","29,464","75,561","(60.128161, 18.643501)"
"Swisscom","18124","Switzerland","2013","SCMN VX","CH0008742519","97","A",,"Public","AQ*","25,459","46,766","(46.818188, 8.227512)"
"American International Group, Inc.","699","USA","2013","AIG US","US0268747849","62","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"McKesson Corporation","11585","USA","2013","MCK US","US58155Q1031",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"Mondelez International Inc","42037","USA","2013","MDLZ US",,"91","B",,"Public","AQ*","1,075,761","954,755","(37.09024, -95.712891)"
"Nordea Bank","13400","Sweden","2013","NDA SS","SE0000427361","93","B",,"Public","AQ*",,"64,175","(60.128161, 18.643501)"
"Teva Pharmaceutical Industries Ltd","18586","Israel","2013","TEVA IT","IL0006290147","73","D",,"Public","AQ*","377,704.82","593,981.97","(31.046051, 34.851612)"
"Associated British Foods","1085","United Kingdom","2013","ABF LN","GB0006731235","85","B",,"Public","AQ*","2,295,328","1,067,934","(55.378051, -3.435973)"
"American Tower Corp.","706","USA","2013","AMT US","US03027X1000",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"KDDI Corporation","9995","Japan","2013","9433 JP","JP3496400007","72","C",,"Public","AQ*","2,947","1,032,629","(36.204824, 138.252924)"
"Shin-Etsu Chemical Co., Ltd.","16839","Japan","2013","4063 JP","JP3371200001","61","C",,"Public","AQ*","1,525,214.03","2,950,931.71","(36.204824, 138.252924)"
"Banco Santander","1441","Spain","2013","SAN SM","ES0113900J37","84","B",,"Public","AQ*","31,857","342,928","(40.463667, -3.74922)"
"Alexion Pharmaceuticals","36634","USA","2013","ALXN US","US0153511094",,,,,"NR",,,"(37.09024, -95.712891)"
"FedEx Corporation","6287","USA","2013","FDX US","US31428X1063","80","B",,"Public","AQ*","14,602,697","959,109","(37.09024, -95.712891)"
"Royal Philips","14709","Netherlands","2013","PHIA NA","NL0000009538","100","A",,"Public","AQ*","442,549","408,517","(52.132633, 5.291266)"
"China Overseas Land & Investment","3235","China","2013","688 HK","HK0688002218",,,,,"NR",,,"(35.86166, 104.195397)"
"Comcast Corporation","3635","USA","2013","CMCSA US","US20030N1019",,,,"Public","IN",,,"(37.09024, -95.712891)"
"Power Assets Holdings Limited","8559","Hong Kong","2013","6 HK","HK0006000050","96","B",,"Public","AQ*","8,960,000",,"(22.396428, 114.109497)"
"Public Storage","15279","USA","2013","PSA US","US74460D1090",,,,,"NR",,,"(37.09024, -95.712891)"
"General Dynamics Corporation","7147","USA","2013","GD US","US3695501086",,,,,"NR",,,"(37.09024, -95.712891)"
"Union Pacific Corporation","19845","USA","2013","UNP US","US9078181081","98","B",,"Public","AQ*","11,595,509","407,176","(37.09024, -95.712891)"
"Duke Energy Corporation","5052","USA","2013","DUK US","US26441C2044","67","C",,"Public","AQ*","123,430,000",,"(37.09024, -95.712891)"
"Franklin Resources, Inc.","6684","USA","2013","BEN US","US3546131018","86","C",,"Public","AQ*","8,175","29,552","(37.09024, -95.712891)"
"Ambev - Cia de Bebidas das Américas","667","Brazil","2013","AMBV4 BZ","BRAMBVACNPR1","66","C",,"Public","AQ*","757,236","235,799","(-14.235004, -51.92528)"
"Taiwan Semiconductor Manufacturing","18280","Taiwan","2013","2330 TT","TW0002330008","90","B",,"Public","AQ*","1,563,306","3,042,814","(23.69781, 120.960515)"
"AXA Group","1287","France","2013","CS FP","FR0000120628","94","A",,"Public","AQ*","51,886.1","119,929.95","(46.227638, 2.213749)"
"Canon Inc.","2688","Japan","2013","7751 JP","JP3242800005","85","B",,"Public","AQ*","145,283","921,409","(36.204824, 138.252924)"
"Marathon Petroleum","36606","USA","2013","MPC US","US56585A1025",,,,"Public","IN",,,"(37.09024, -95.712891)"
"Swiss Re","18114","Switzerland","2013","SREN VX","CH0126881561","92","A",,"Public","AQ*","4,850","8,800","(46.818188, 8.227512)"
"NTPC Ltd","12857","India","2013","NTPC IN","INE733E01010",,,,,"NR",,,"(20.593684, 78.96288)"
"DIRECTV","4773","USA","2013","DTV US","US25490A3095","91","B",,"Public","AQ*","106,060","88,145","(37.09024, -95.712891)"
"Housing Development Finance Corporation","8594","India","2013","HDFC IN","INE001A01036",,,,,"NR",,,"(20.593684, 78.96288)"
"Medtronic, Inc.","11651","USA","2013","MDT US","US5850551061","61","D",,"Public","AQ*","31,460","170,685","(37.09024, -95.712891)"
"Tokio Marine Holdings, Inc.","19184","Japan","2013","8766 JP","JP3910660004","83","B",,"Public","AQ*","17,918","70,971","(36.204824, 138.252924)"
"Bank of China","1451","China","2013","3988 HK","CNE1000001Z5",,,,,"NR",,,"(35.86166, 104.195397)"
"Nippon Telegraph & Telephone Corporation (NTT)","13298","Japan","2013","9432 JP","JP3735400008","95","B",,"Public","AQ*","260,000","3,531,000","(36.204824, 138.252924)"
"BNP Paribas","1907","France","2013","BNP FP","FR0000131104","93","A",,"Public","AQ*","70,319","388,323","(46.227638, 2.213749)"
"Kimberly-Clark Corporation","10148","USA","2013","KMB US","US4943681035","72","C",,"Public","AQ*","2,461,675","2,967,804","(37.09024, -95.712891)"
"Anheuser Busch InBev","22350","Belgium","2013","ABI BB","BE0003793107","85","A",,"Public","AQ*","2,459,221","1,588,297","(50.503887, 4.469936)"
"Heineken NV","8212","Netherlands","2013","HEIA NA","NL0000009165","96","B","Heineken Holding NV","Public","AQ*","1,263,773","737,418","(52.132633, 5.291266)"
"Vodacom Group","22902","South Africa","2013","VOD SJ","ZAE000132577","94","B",,"Public","AQ*","45,850.61","401,703.25","(-30.559482, 22.937506)"
"Woodside Petroleum","20771","Australia","2013","WPL AU","AU000000WPL2","72","C",,"Public","AQ*","9,889,254","8,455","(-25.274398, 133.775136)"
"Ecopetrol Sa","22341","Colombia","2013","ECOPETL CB","COC04PA00016","48",,,"Not public","AQ*",,,"(4.570868, -74.297333)"
"Express Scripts Holding Company","11623","USA","2013","MHS US","US58405U1025",,,,"Not public","DP",,,"(37.09024, -95.712891)"
"Thermo Fisher Scientific Inc.","19016","USA","2013","TMO US","US8835561023","75","D",,"Public","AQ*","64,863","297,992","(37.09024, -95.712891)"
"Norfolk Southern Corp.","13425","USA","2013","NSC US","US6558441084","90","B",,"Public","AQ*","4,925,238","252,854","(37.09024, -95.712891)"
"Saint-Gobain","16151","France","2013","SGO FP","FR0000125007","91","B",,"Public","AQ*","12,801,000","4,550,000","(46.227638, 2.213749)"
"H.J. Heinz Company","8218","USA","2013","HNZ US","US4230741039","27",,,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Jardine Strategic","9707","Hong Kong","2013","JS SP","BMG507641022",,,,,"NR",,,"(22.396428, 114.109497)"
"WellPoint, Inc.","20595","USA","2013","WLP US","US94973V1070","57","C",,"Public","AQ*","7,460","114,199","(37.09024, -95.712891)"
"Chevron Corporation","3191","USA","2013","CVX US","US1667641005","97","A-",,"Public","AQ*","58,559,220","3,849,319","(37.09024, -95.712891)"
"Imperial Tobacco Group","8884","United Kingdom","2013","IMT LN","GB0004544929","83","B",,"Public","AQ*","144,153","163,819","(55.378051, -3.435973)"
"CNOOC","3527","China","2013","883 HK","HK0883013259","22",,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Praxair, Inc.","15027","USA","2013","PX US","US74005P1049","98","B",,"Public","AQ*","5,355,000","11,329,000","(37.09024, -95.712891)"
"Bridgestone Corporation","2156","Japan","2013","5108 JP","JP3830800003","93","B",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Prudential PLC","15283","United Kingdom","2013","PRU LN","GB0007099541","70","D",,"Public","AQ*","12,499.6","114,635.67","(55.378051, -3.435973)"
"Wal Mart de Mexico","20332","Mexico","2013","WALMEXV MM","MXP810081010","71","C","Wal-Mart Stores, Inc.","Public","AQ*","851,495","1,078,080","(23.634501, -102.552784)"
"Deutsche Bank AG","4645","Germany","2013","DBK GR","DE0005140008","91","A",,"Public","AQ*","94,031","443,165","(51.165691, 10.451526)"
"Societe Generale","17320","France","2013","GLE FP","FR0000130809","85","B",,"Public","AQ*","31,763","205,871","(46.227638, 2.213749)"
"Magnit","22843","Russia","2013","MGNT RU","RU000A0JKQU8",,,,"Not public","DP",,,"(61.52401, 105.318756)"
"Barclays","1502","United Kingdom","2013","BARC LN","GB0031348658","92","A",,"Public","AQ*","46,757","786,547","(55.378051, -3.435973)"
"Hitachi, Ltd.","8338","Japan","2013","6501 JP","JP3788600009","95","B",,"Public","AQ*","912,154","3,313,114","(36.204824, 138.252924)"
"Mitsubishi Corporation","12112","Japan","2013","8058 JP","JP3898400001","67","D",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Twenty-First Century Fox","13126","USA","2013","FOX US",,"97","A-",,"Public","AQ*","62,360","376,022","(37.09024, -95.712891)"
"Costco Wholesale Corporation","3944","USA","2013","COST US","US22160K1051","45",,,"Public","AQ*","362,802","1,197,983","(37.09024, -95.712891)"
"Skandinaviska Enskilda Banken AB (SEB AB)","22943","Sweden","2013","SEBA SS","SE0000148884","74","B",,"Public","AQ*",,"9,308","(60.128161, 18.643501)"
"BT Group","2377","United Kingdom","2013","BT/A LN","GB0030913577","93","A",,"Public","AQ*","200,876","192,644","(55.378051, -3.435973)"
"Covidien Ltd.","3943","Ireland","2013","COV US","IE00B68SQD29","70","C",,"Public","AQ*","230,511","402,132","(53.41291, -8.24389)"
"Sun Hung Kai Props","17894","Hong Kong","2013","16 HK","HK0016000132",,,,,"NR",,,"(22.396428, 114.109497)"
"Cielo SA","23095","Brazil","2013","CIEL3 BZ","BRCIELACNOR3","53","E",,"Public","AQ*","1,564.17","285.49","(-14.235004, -51.92528)"
"ING Group","9033","Netherlands","2013","INGA NA","NL0000303600","96","B",,"Public","AQ*","27,039","87,735","(52.132633, 5.291266)"
"Telefonica Brasil S.A.","36639","Brazil","2013","VIVT4 BZ","BRVIVTACNPR7",,,"Telefonica",,"SA",,,"(-14.235004, -51.92528)"
"ABB","282","Switzerland","2013","ABBN VX","CH0012221716","82","B",,"Public","AQ*","819,000","857,000","(46.818188, 8.227512)"
"Kraft Foods","10312","USA","2013","KRFT US","US50076Q1067","81","B",,"Public","AQ*","477,813","695,225","(37.09024, -95.712891)"
"Newmont Mining Corporation","13117","USA","2013","NEM US","US6516391066","92","B",,"Public","AQ*","4,016,150","1,182,740","(37.09024, -95.712891)"
"BHP Billiton","1808","United Kingdom","2013","BHP AU","AU000000BHP4","75","C",,"Public","AQ*","20,200,000","20,000,000","(55.378051, -3.435973)"
"Google Inc.","7616","USA","2013","GOOG US","US38259P5089","93","B",,"Public","AQ*","37,187","1,149,988","(37.09024, -95.712891)"
"Naspers","12789","South Africa","2013","NPN SJ","ZAE000015889","59","E",,"Not public","AQ*",,,"(-30.559482, 22.937506)"
"Microsoft Corporation","11930","USA","2013","MSFT US","US5949181045","96","A",,"Public","AQ*","48,516","1,207,419","(37.09024, -95.712891)"
"Hyundai Motor","8708","South Korea","2013","005380 KS","KR7005380001","87","B",,"Public","AQ*","877,211","1,533,990","(35.907757, 127.766922)"
"Tullow Oil","19589","United Kingdom","2013","TLW LN","GB0001500809","72","B",,"Public","AQ*","579,834.45","122","(55.378051, -3.435973)"
"Adobe Systems, Inc.","333","USA","2013","ADBE US","US00724F1012","97","A",,"Public","AQ*","2,744","22,995","(37.09024, -95.712891)"
"Intuitive Surgical Inc.","9367","USA","2013","ISRG US","US46120E6023",,,,,"NR",,,"(37.09024, -95.712891)"
"Bank of Nova Scotia (Scotiabank)","1470","Canada","2013","BNS CN","CA0641491075","72","C",,"Public","AQ*","16,310","128,052","(56.130366, -106.346771)"
"Sands China LTD","31550","Hong Kong","2013","1928 HK","KYG7800X1079",,,,,"SA",,,"(22.396428, 114.109497)"
"CIMB Group Holdings","21414","Malaysia","2013","CIMB MK","MYL1023OO000",,,,,"NR",,,"(4.210484, 101.975766)"
"The Coca-Cola Company","3564","USA","2013","KO US","US1912161007","90","A-",,"Public","AQ*","2,551,626","1,138,377","(37.09024, -95.712891)"
"LG Chem","10667","South Korea","2013","051910 KS","KR7051910008","95","B",,"Public","AQ*","4,454,747","1,865,116","(35.907757, 127.766922)"
"Bristol-Myers Squibb","2191","USA","2013","BMY US","US1101221083","96","B",,"Public","AQ*","269,734","262,565","(37.09024, -95.712891)"
"Gilead Sciences, Inc.","7345","USA","2013","GILD US","US3755581036",,,,,"NR",,,"(37.09024, -95.712891)"
"Sandvik AB","16277","Sweden","2013","SAND SS","SE0000667891","64","C",,"Not public","AQ*",,,"(60.128161, 18.643501)"
"Hindustan Unilever","8359","India","2013","HUVR IN","INE030A01027",,,"Unilever plc",,"SA",,,"(20.593684, 78.96288)"
"Rogers Communications Inc.","15916","Canada","2013","RCI/B CN","CA7751092007","68","C",,"Public","AQ*","38,870","159,819","(56.130366, -106.346771)"
"CenturyLink","31497","USA","2013","CTL US","US1567001060","66","D",,"Public","AQ*","279,522.5","2,079,911.5","(37.09024, -95.712891)"
"PETROCHINA Company Limited","14653","China","2013","857 HK","CNE1000003W8",,,,"Public","AQ*",,,"(35.86166, 104.195397)"
"Monsanto Company","12330","USA","2013","MON US","US61166W1018","70","D",,"Public","AQ*","1,610,000","539,000","(37.09024, -95.712891)"
"Kia Motors","10076","South Korea","2013","000270 KS","KR7000270009",,,,"Not public","DP",,,"(35.907757, 127.766922)"
"Precision Castparts Corp.","15040","USA","2013","PCP US","US7401891053",,,,,"NR",,,"(37.09024, -95.712891)"
"Anglo American","772","United Kingdom","2013","AAL LN","GB00B1XZS820","96","A",,"Public","AQ*","8,470,754","9,403,534","(55.378051, -3.435973)"
"Astellas Pharma Inc.","1051","Japan","2013","4503 JP","JP3942400007","88","B",,"Public","AQ*","85,937","125,398","(36.204824, 138.252924)"
"East Japan Railway Company","5145","Japan","2013","9020 JP","JP3783600004","78","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Siemens Aktiengesellschaft","16919","Germany","2013","SIE GR","DE0007236101","96","A-",,"Public","AQ*","1,042,000","1,385,000","(51.165691, 10.451526)"
"Mitsui & Co., Ltd.","12272","Japan","2013","8031 JP","JP3893600001","78","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Belle International","1657","Hong Kong","2013","1880 HK","KYG097021045",,,,,"NR",,,"(22.396428, 114.109497)"
"Tata Consultancy Services","18287","India","2013","TCS IN","INE467B01029","89","A",,"Public","AQ*","58,961","300,555","(20.593684, 78.96288)"
"Fresnillo plc","6806","Mexico","2013","FRES LN","GB00B2QPKJ12","68","D",,"Public","AQ*","236,183.87","346,134.05","(23.634501, -102.552784)"
"State Street Corporation","17690","USA","2013","STT US","US8574771031","87","C",,"Public","AQ*","10,009.07","98,756","(37.09024, -95.712891)"
"Telekomunikasi Indonesia","18439","Indonesia","2013","TLKM IJ","ID1000129000",,,,,"NR",,,"(-0.789275, 113.921327)"
"Lowe's Companies, Inc.","11017","USA","2013","LOW US","US5486611073","85","D",,"Public","AQ*","303,721","2,552,740","(37.09024, -95.712891)"
"America Movil","645","Mexico","2013","AMXL MM","MXP001691213",,,,,"NR",,,"(23.634501, -102.552784)"
"CSL","4052","Australia","2013","CSL AU","AU000000CSL8","85","C",,"Public","AQ*","55,383","136,951","(-25.274398, 133.775136)"
"EDF","5369","France","2013","EDF FP","FR0010242511","95","B",,"Public","AQ*","80,283,556","74,004","(46.227638, 2.213749)"
"Arcelor Mittal","904","Luxembourg","2013","MT NA","LU0323134006","88","B",,"Public","AQ*","158,192,000","17,256,000","(49.815273, 6.129583)"
"Canadian Natural Resources Limited","2667","Canada","2013","CNQ CN","CA1363851017","66","D",,"Public","AQ*","18,242,506","1,793,837","(56.130366, -106.346771)"
"Valeant Pharmaceuticals International, Inc.","31831","Canada","2013","VRX US","CA91911K1021",,,,,"NR",,,"(56.130366, -106.346771)"
"HSBC Holdings plc","8611","United Kingdom","2013","HSBA LN","GB0005405286","97","A",,"Public","AQ*","64,918","688,827","(55.378051, -3.435973)"
"Want Want China Holdings Ltd.","21395","Hong Kong","2013","151 HK","KYG9431R1039",,,,,"NR",,,"(22.396428, 114.109497)"
"Jardine Matheson","9728","Hong Kong","2013","JM SP","BMG507361001",,,,,"NR",,,"(22.396428, 114.109497)"
"General Electric Company","7166","USA","2013","GE US","US3696041033","72","C",,"Public","AQ*","1,970,000","2,905,000","(37.09024, -95.712891)"
"Reliance Industries","15635","India","2013","RIL IN","INE002A01018",,,,,"NR",,,"(20.593684, 78.96288)"
"Bayer AG","1581","Germany","2013","BAYN GR","DE000BAY0017","99","A-",,"Public","AQ*","4,240,000","4,120,000","(51.165691, 10.451526)"
"Tesco","18574","United Kingdom","2013","TSCO LN","GB0008847096","96","A-",,"Public","AQ*","1,418,798","3,764,068","(55.378051, -3.435973)"
"Caterpillar Inc.","2918","USA","2013","CAT US","US1491231015",,,,"Public","IN",,,"(37.09024, -95.712891)"
"Oracle Corporation","14013","USA","2013","ORCL US","US68389X1054","79","C",,"Public","AQ*","16,481","440,773","(37.09024, -95.712891)"
"United Overseas Bank","19894","Singapore","2013","UOB SP","SG1M31001969",,,,,"NR",,,"(1.352083, 103.819836)"
"Woolworths Limited","20780","Australia","2013","WOW AU","AU000000WOW2","96","B",,"Public","AQ*","383,871","2,499,051","(-25.274398, 133.775136)"
"Unibail-Rodamco","19789","France","2013","UL FP","FR0000124711","79","B",,"Public","AQ*","15,429","66,533","(46.227638, 2.213749)"
"Novo Nordisk A/S","13520","Denmark","2013","NOVOB DC","DK0060102614","96","B",,"Public","AQ*","38,587","88,294","(56.26392, 9.501785)"
"Marsh & McLennan Companies, Inc.","11383","USA","2013","MMC US","US5717481023","98","B",,"Public","AQ*","3,429.21","97,423.43","(37.09024, -95.712891)"
"Honda Motor Company","8566","Japan","2013","7267 JP","JP3854600008","99","A",,"Public","AQ*","1,410,000","3,540,000","(36.204824, 138.252924)"
"Nissan Motor Co., Ltd.","13363","Japan","2013","7201 JP","JP3672400003","99","A",,"Public","AQ*","835,766","2,432,889","(36.204824, 138.252924)"
"Dow Chemical Company","4826","USA","2013","DOW US","US2605431038","90","B",,"Public","AQ*","27,429,000","8,403,000","(37.09024, -95.712891)"
"Standard Bank Group","17637","South Africa","2013","SBK SJ","ZAE000109815","71","C",,"Public","AQ*","9,198","363,916","(-30.559482, 22.937506)"
"AIA Group Ltd.","36633","Hong Kong","2013","1299 HK","HK0000069689",,,,,"NR",,,"(22.396428, 114.109497)"
"Formosa Petrochemical","6602","Taiwan","2013","6505 TT","TW0006505001",,,"Formosa Plastics Corp",,"NR",,,"(23.69781, 120.960515)"
"Seven & I Holdings Co., Ltd.","16728","Japan","2013","3382 JP","JP3422950000","82","B",,"Public","AQ*","169,619","2,310,530","(36.204824, 138.252924)"
"Banco Santander Brasil","31393","Brazil","2013","SANB3 BZ","BRSANBACNOR8","64","C",,"Public","AQ*","15,790","22,861","(-14.235004, -51.92528)"
"Public Bank BHD","15296","Malaysia","2013","PBK MK","MYL1295OO004",,,,,"NR",,,"(4.210484, 101.975766)"
"Empresas COPEC S.A.","3283","Chile","2013","COPEC CI","CLP7847L1080","32",,,"Not public","AQ*",,,"(-35.675147, -71.542969)"
"Daimler AG","4235","Germany","2013","DAI GR","DE0007100000","100","A",,"Public","AQ*","960,464","2,330,559","(51.165691, 10.451526)"
"T.GARANTİ BANKASI A.Ş.","21129","Turkey","2013","GARAN TI","TRAGARAN91N1","80","C",,"Public","AQ*","15,567.78","73,993.85","(38.963745, 35.243322)"
"Zurich Insurance Group","21064","Switzerland","2013","ZURN VX","CH0011075394","65","C",,"Not public","AQ*",,,"(46.818188, 8.227512)"
"China Mobile","3229","China","2013","941 HK","HK0941009539",,,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Oil & Natural Gas","13823","India","2013","ONGC IN","INE213A01029",,,,,"NR",,,"(20.593684, 78.96288)"
"Viacom Inc.","20159","USA","2013","VIAB US","US92553P2011","60","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"JPMorgan Chase & Co.","9871","USA","2013","JPM US","US46625H1005","91","B",,"Public","AQ*","83,343","1,219,748","(37.09024, -95.712891)"
"Westfield Group","20629","Australia","2013","WDC AU","AU000000WDC7","85","B",,"Public","AQ*","25,187","458,569","(-25.274398, 133.775136)"
"Colgate Palmolive Company","3551","USA","2013","CL US","US1941621039","99","B",,"Public","AQ*","232,574","435,061","(37.09024, -95.712891)"
"Honeywell International Inc.","8553","USA","2013","HON US","US4385161066","74","B",,"Public","AQ*","5,532,844","1,756,275","(37.09024, -95.712891)"
"Picc Property & Casualty","23051","China","2013","2328 HK","CNE100000593",,,,,"NR",,,"(35.86166, 104.195397)"
"BMW AG","1932","Germany","2013","BMW GR","DE0005190003","100","A",,"Public","AQ*","484,612","862,214","(51.165691, 10.451526)"
"Gas Natural SDG SA","7084","Spain","2013","GAS SM","ES0116870314","100","A",,"Public","AQ*","26,062,058","956,889","(40.463667, -3.74922)"
"Vodafone Group","20316","United Kingdom","2013","VOD LN","GB00B16GWD56","85","B",,"Public","AQ*","404,885","2,178,178","(55.378051, -3.435973)"
"Westpac Banking Corporation","19051","Australia","2013","WBC AU","AU000000WBC1","91","A",,"Public","AQ*","12,134","176,648","(-25.274398, 133.775136)"
"Halliburton Company","8027","USA","2013","HAL US","US4062161017","65","D",,"Public","AQ*","4,211,808","839,363","(37.09024, -95.712891)"
"Carrefour","2880","France","2013","CA FP","FR0000120172","80","B",,"Public","AQ*","1,630,800","1,585,600","(46.227638, 2.213749)"
"Sime Darby Bhd","17053","Malaysia","2013","SIME MK","MYL4197OO009","65","D",,"Not public","AQ*",,,"(4.210484, 101.975766)"
"UniCredit","19794","Italy","2013","UCG IM","IT0004781412","77","C",,"Public","AQ*","67,424.93","308,347.8","(41.87194, 12.56738)"
"Eni SpA","5634","Italy","2013","ENI IM","IT0003132476","92","B",,"Public","AQ*","52,493,340","834,197","(41.87194, 12.56738)"
