Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Provision for Loan Losses;Net Revenue after Provisions;Total Non-Interest Expense;Operating Income (Loss);Non-Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AXP;413080;USD;2023;FY;2023-12-31;2024-02-09;2026-02-06;735000000;736000000;60311000000;-4719000000;55592000000;-45079000000;10513000000;;10513000000;-2139000000;8374000000;;8374000000;8374000000
AXP;413080;USD;2024;FY;2024-12-31;2025-02-07;2026-02-06;712000000;713000000;65647000000;-4883000000;60764000000;-47869000000;12895000000;;12895000000;-2766000000;10129000000;;10129000000;10129000000
BAC;71941;USD;2020;FY;2020-12-31;2021-02-24;2023-02-22;8753200000;8796900000;85528000000;-11320000000;74208000000;-55213000000;18995000000;;18995000000;-1101000000;17894000000;;17894000000;16473000000
BAC;71941;USD;2021;FY;2021-12-31;2022-02-22;2024-02-20;8226500000;8304700000;89113000000;4594000000;93707000000;-59731000000;33976000000;;33976000000;-1998000000;31978000000;;31978000000;30557000000
BAC;71941;USD;2022;FY;2022-12-31;2023-02-22;2025-02-25;8493300000;8558400000;94950000000;-2543000000;92407000000;-61438000000;30969000000;;30969000000;-3441000000;27528000000;;27528000000;26015000000
BAC;71941;USD;2023;FY;2023-12-31;2024-02-20;2026-02-25;8028600000;8080500000;102769000000;-4394000000;98375000000;-65845000000;32530000000;;32530000000;-6225000000;26305000000;;26305000000;24656000000
BAC;71941;USD;2024;FY;2024-12-31;2025-02-25;2026-02-25;7855500000;7935800000;105856000000;-5821000000;100035000000;-66812000000;33223000000;;33223000000;-6250000000;26973000000;;26973000000;25344000000
BANF;6767471;USD;2023;FY;2023-12-31;2024-02-27;2026-02-26;32919348;33494487;609864000;-7458000;602406000;-332458000;269948000;;269948000;-57483000;212465000;;212465000;212465000
BANF;6767471;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;33055152;33617015;631449000;-9004000;622445000;-347164000;275281000;;275281000;-58927000;216354000;;216354000;216354000
BCBP;9075898;USD;2024;FY;2024-12-31;2025-03-07;2026-03-09;17007000;17018000;94961000;-11570000;83391000;-57121000;26270000;;26270000;-7647000;18623000;;18623000;16791000
BCML;9075888;USD;2020;FY;2020-12-31;2021-03-23;2023-03-31;11965245;11965245;87068000;-10320000;76748000;-58519000;18229000;;18229000;-4503000;13726000;;13726000;13726000
BCML;9075888;USD;2021;FY;2021-12-31;2022-03-31;2024-03-15;10882344;10882344;84075000;-466000;83609000;-55129000;28480000;;28480000;-7789000;20691000;;20691000;20691000
BFC;10384319;USD;2020;FY;2020-12-31;2021-03-12;2023-03-10;7441256;7481077;101812000;-7125000;94687000;-50635000;44052000;;49877000;-11831000;38046000;;38046000;38046000
BFH;68960;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;59893400;60018700;3298000000;-1266000000;2032000000;-1731000000;301000000;;301000000;-93000000;208000000;6000000;214000000;214000000
BFH;68960;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;47800000;47900000;3272000000;-544000000;2728000000;-1684000000;1044000000;;1044000000;-247000000;797000000;4000000;801000000;801000000
BFH;68960;USD;2022;FY;2022-12-31;2023-02-28;2025-02-14;49900000;50000000;3826000000;-1594000000;2232000000;-1932000000;300000000;;300000000;-76000000;224000000;-1000000;223000000;223000000
BFH;68960;USD;2023;FY;2023-12-31;2024-02-20;2026-02-13;49800000;50000000;4289000000;-1229000000;3060000000;-2092000000;968000000;;968000000;-231000000;737000000;-19000000;718000000;718000000
BFH;68960;USD;2024;FY;2024-12-31;2025-02-14;2026-02-13;49600000;50400000;3838000000;-1397000000;2441000000;-2060000000;381000000;;381000000;-102000000;279000000;-2000000;277000000;277000000
BFIN;9076030;USD;2020;FY;2020-12-31;2021-02-25;2022-03-01;14951656;14951656;51253000;-55000;51198000;-38438000;12760000;;12760000;-3597000;9163000;;9163000;9163000
BFIN;9076030;USD;2021;FY;2021-12-31;2022-03-01;2023-03-09;13981132;13981132;49461000;1240000;50701000;-40943000;9758000;;9758000;-2348000;7410000;;7410000;7410000
BFIN;9076030;USD;2022;FY;2022-12-31;2023-03-09;2024-03-01;13071742;13071742;56791000;-1828000;54963000;-41128000;13835000;;13835000;-3341000;10494000;;10494000;10494000
BFIN;9076030;USD;2023;FY;2023-12-31;2024-03-01;2025-03-24;12622882;12622882;56246000;-313000;55933000;-43181000;12752000;;12752000;-3359000;9393000;;9393000;9393000
BFST;7962918;USD;2020;FY;2020-12-31;2021-03-05;2023-03-02;18169599;18243445;149210000;-11435000;137775000;-100993000;36782000;;36782000;-6788000;29994000;;29994000;29994000
BFST;7962918;USD;2021;FY;2021-12-31;2022-03-01;2024-03-01;20502249;20634281;189666000;-8047000;181619000;-117061000;64558000;;64558000;-12422000;52136000;;52136000;52136000
BFST;7962918;USD;2022;FY;2022-12-31;2023-03-02;2025-03-07;22633478;22817493;228887000;-10886000;218001000;-149409000;68592000;;68592000;-14337000;54255000;;54255000;52905000
BFST;7962918;USD;2023;FY;2023-12-31;2024-03-01;2026-02-26;25079106;25296200;251771000;-4483000;247288000;-156702000;90586000;;90586000;-19543000;71043000;;71043000;65642000
BFST;7962918;USD;2024;FY;2024-12-31;2025-03-07;2026-02-26;26253846;26452084;271576000;-10873000;260703000;-177652000;83051000;;83051000;-17944000;65107000;;65107000;59706000
BHB;7962922;USD;2020;FY;2020-12-31;2021-03-10;2023-03-14;15246000;15272000;142136000;-5625000;136511000;-93541000;42970000;;41651000;-8407000;33244000;;33244000;33244000
BHLB;998454;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;50270000;50270000;383089000;-75878000;307211000;-280638000;26573000;;-533028000;19853000;-513175000;-19842000;-533017000;-533017000
BK;467599;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;890839000;892514000;15808000000;-336000000;15472000000;-11004000000;4468000000;;4468000000;-842000000;3626000000;;3617000000;3423000000
BK;467599;USD;2021;FY;2021-12-31;2022-02-25;2024-02-28;884536082;884536082;15931000000;231000000;16162000000;-11514000000;4648000000;;4648000000;-877000000;3771000000;;3759000000;3552000000
BK;467599;USD;2022;FY;2022-12-31;2023-02-27;2024-02-28;851798561;856359000;16377000000;-39000000;16338000000;-12330000000;4008000000;;3328000000;-768000000;2560000000;;2573000000;2362000000
BK;467599;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;784004250;788081500;17502000000;-119000000;17383000000;-13295000000;4088000000;;4088000000;-800000000;3288000000;;3286000000;3051000000
BLFY;10656566;USD;2020;FY;2020-12-31;2021-03-14;2022-03-14;27772500;27772500;40275000;-2518000;37757000;-48894000;-11137000;;-39372000;7866000;-31506000;;-31506000;-31506000
BLFY;10656566;USD;2021;FY;2021-12-31;2022-03-14;2023-03-30;12171050;12171050;45428000;2518000;47946000;-52309000;-4363000;;-26724000;-9618000;-36342000;;-36342000;-36342000
BLX;7962710;USD;2020;FY;2020-12-31;2021-04-29;2023-04-28;39656000;39656000;99157000;1464000;100621000;-37324000;63297000;;63593000;;63593000;;63593000;63593000
BLX;7962710;USD;2021;FY;2021-12-31;2022-04-28;2024-04-25;38796000;38796000;104206000;-2328000;101878000;-39923000;61955000;;62697000;;62697000;;62697000;62697000
BLX;7962710;USD;2022;FY;2022-12-31;2023-04-28;2025-04-15;36304000;36304000;166672000;-19521000;147151000;-55111000;92040000;;92040000;;92040000;;92040000;92040000
BMRC;9075832;USD;2020;FY;2020-12-31;2021-03-15;2023-03-16;13525000;13617000;105209000;-6164000;99045000;-58458000;40587000;;40587000;-10345000;30242000;;30242000;30242000
BMRC;9075832;USD;2021;FY;2021-12-31;2022-03-15;2023-03-16;14340000;14422000;115083000;2441000;117524000;-72638000;44886000;;44886000;-11658000;33228000;;33228000;33228000
BMTC;9076267;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;19970921;20042345;225758000;-41677000;184081000;-141114000;42967000;;41354000;-8856000;32498000;;32573000;32573000
BOCH;9076295;USD;2020;FY;2020-12-31;2021-03-05;2021-03-05;16663000;16731000;59530000;-5250000;54280000;-34977000;19303000;;19280000;-5116000;14164000;;14164000;14164000
BOH;998597;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;39726210;39892107;680731000;-117800000;562931000;-373807000;189124000;;189124000;-35320000;153804000;;153804000;153804000
BOH;998597;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;39741063;39955525;668643000;50500000;719143000;-393589000;325554000;;325554000;-72182000;253372000;;253372000;250397000
BOKF;344670;USD;2020;FY;2020-12-31;2021-02-24;2023-03-01;69840977;69844172;1950764000;-222592000;1728172000;-1155308000;572864000;;563864000;-128793000;435071000;;435030000;435030000
BOKF;344670;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;68069160;68070910;1873808000;100000000;1973808000;-1168708000;805100000;;796100000;-179775000;616325000;;618121000;618121000
BPFH;9076319;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;82292450;82764339;327310000;-31998000;295312000;-241265000;54047000;;54047000;-8888000;45159000;;45159000;45159000
BRBS;12444335;USD;2024;FY;2024-12-31;2025-03-10;2026-03-12;49123861;49123861;97334000;;97334000;-113841000;-16507000;;-16507000;1122000;-15385000;;-15385000;-15385000
BSBK;12444445;USD;2023;FY;2023-12-31;2024-03-28;2025-03-28;12891847;12891847;16112505;125000;16237505;-15757127;480378;;480378;162157;642535;;642535;642535
BSBK;12444445;USD;2024;FY;2024-12-31;2025-03-28;2026-03-27;12767410;12767410;11899614;148000;12047614;-14589603;-2541989;;-2541989;371569;-2170420;;-2170420;-2170420
BSVN;11820256;USD;2020;FY;2020-12-31;2021-03-25;2023-03-24;9378769;9379154;48826000;-5350000;43476000;-17592000;25884000;;25884000;-6618000;19266000;;19266000;19266000
BSVN;11820256;USD;2021;FY;2021-12-31;2022-03-31;2024-03-25;9056117;9091536;55486000;-4175000;51311000;-20397000;30914000;;30914000;-7755000;23159000;;23159000;23159000
BSVN;11820256;USD;2022;FY;2022-12-31;2023-03-24;2025-03-12;9101523;9204716;72366000;-4468000;67898000;-28641000;39257000;;39257000;-9619000;29638000;;29638000;29638000
BSVN;11820256;USD;2023;FY;2023-12-31;2024-03-25;2026-03-17;9161565;9264307;91788000;-21145000;70643000;-33420000;37223000;;37223000;-8948000;28275000;;28275000;28275000
BSVN;11820256;USD;2024;FY;2024-12-31;2025-03-12;2026-03-17;9290051;9447751;97449000;;97449000;-37095000;60354000;;60354000;-14656000;45698000;;45698000;45698000
BUSE;6767795;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;55432322;56256148;441835000;-2860000;438975000;-285071000;153904000;;153904000;-31339000;122565000;;122565000;122565000
BWB;9075816;USD;2020;FY;2020-12-31;2021-03-11;2023-03-07;28582064;29170220;93803000;-12750000;81053000;-45387000;35666000;;35666000;-8472000;27194000;;27194000;27194000
BWFG;9075916;USD;2020;FY;2020-12-31;2021-03-10;2022-03-08;7728328;7748453;57719000;-7605000;50114000;-42813000;7301000;;7301000;-1397000;5904000;;5904000;5904000
BWFG;9075916;USD;2021;FY;2021-12-31;2022-03-08;2023-03-08;7706407;7761811;73543000;57000;73600000;-39739000;33861000;;33861000;-7275000;26586000;;26586000;26586000
BWFG;9075916;USD;2022;FY;2022-12-31;2023-03-08;2024-03-12;7563363;7640218;97783000;-5437000;92346000;-44363000;47983000;;47983000;-10554000;37429000;;37429000;37429000
BWFG;9075916;USD;2023;FY;2023-12-31;2024-03-12;2025-03-05;7587768;7647411;99310000;-866000;98444000;-50401000;48043000;;48043000;-11380000;36663000;;36663000;36663000
BWFG;9075916;USD;2024;FY;2024-12-31;2025-03-05;2026-03-04;7710076;7737952;87000000;-22620000;64380000;-51051000;13329000;;13329000;-3559000;9770000;;9770000;9770000
C;89126;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;2085800000;2099000000;75501000000;-17382000000;58119000000;-44487000000;13632000000;;13632000000;-2525000000;11107000000;-20000000;11047000000;11047000000
C;89126;USD;2021;FY;2021-12-31;2022-02-28;2024-02-23;1984300000;2001600000;71884000000;3106000000;74990000000;-48309000000;26681000000;;27469000000;-5451000000;22018000000;7000000;21952000000;21952000000
C;89126;USD;2022;FY;2022-12-31;2023-02-27;2025-02-21;1946700000;1964300000;75338000000;-4948000000;70390000000;-51292000000;19098000000;;18807000000;-3642000000;15165000000;-231000000;14845000000;14845000000
C;89126;USD;2023;FY;2023-12-31;2024-02-23;2025-02-21;1930100000;1955800000;78462000000;-9611000000;68851000000;-56366000000;12485000000;;12910000000;-3528000000;9382000000;-1000000;9228000000;9228000000
C;89126;USD;2024;FY;2024-12-31;2025-02-21;2025-02-21;1901400000;1940100000;81139000000;-10228000000;70911000000;-53984000000;16927000000;;17046000000;-4211000000;12835000000;-2000000;12682000000;12682000000
CAC;7962846;USD;2020;FY;2020-12-31;2021-03-15;2023-03-10;14985235;15023767;186797000;-12418000;174379000;-99983000;74396000;;74396000;-14910000;59486000;;59486000;59486000
CAC;7962846;USD;2021;FY;2021-12-31;2022-03-11;2024-03-08;14903855;14971578;187171000;3190000;190361000;-103720000;86641000;;86641000;-17627000;69014000;;69014000;69014000
CAC;7962846;USD;2022;FY;2022-12-31;2023-03-10;2025-03-07;14644170;14701010;188396000;-4500000;183896000;-106849000;77047000;;77047000;-15608000;61439000;;61439000;61439000
CAC;7962846;USD;2023;FY;2023-12-31;2024-03-08;2026-03-06;14563380;14609345;163297000;-2100000;161197000;-107361000;53836000;;53836000;-10453000;43383000;;43383000;43383000
CAC;7962846;USD;2024;FY;2024-12-31;2025-03-07;2026-03-06;14579276;14633803;176992000;404000;177396000;-110777000;66619000;;65460000;-12456000;53004000;;53004000;53004000
CALB;10656714;USD;2020;FY;2020-12-31;2021-03-25;2022-03-23;8131325;8169082;48929000;-4880000;44049000;-37809000;6240000;;6240000;-1937000;4303000;;4303000;4303000
CALB;10656714;USD;2021;FY;2021-12-31;2022-03-23;2023-03-24;8222749;8292942;58903000;-4000;58899000;-40437000;18462000;;18462000;-5094000;13368000;;13368000;13368000
CARE;11818501;USD;2022;FY;2022-12-31;2023-03-10;2025-03-07;24595789;24595789;161646000;-3549000;158097000;-96380000;61717000;;61717000;-11599000;50118000;;50118000;50118000
CARE;11818501;USD;2023;FY;2023-12-31;2024-03-08;2026-03-05;23240543;23240543;140588000;-6401000;134187000;-105466000;28721000;;28721000;-5337000;23384000;;23384000;23384000
CARE;11818501;USD;2024;FY;2024-12-31;2025-03-07;2026-03-05;22817149;22817149;135825000;5046000;140871000;-110002000;30869000;;30869000;-6346000;24523000;;24523000;24523000
CARV;11035484;USD;2020;FY;2021-03-31;2021-06-29;2022-07-14;3415154;3415154;22085000;100000;22185000;-26081000;-3896000;;-3896000;;-3896000;;-3896000;-3896000
CARV;11035484;USD;2021;FY;2022-03-31;2022-07-14;2023-06-29;3588523;3588523;27820000;-603000;27217000;-28064000;-847000;;-847000;;-847000;;-847000;-847000
CASH;6767715;USD;2021;FY;2021-09-30;2021-11-23;2023-11-21;31729596;31751522;538380000;-49766000;488614000;-340865000;147749000;;156446000;-10701000;145745000;;141708000;141708000
CASH;6767715;USD;2022;FY;2022-09-30;2022-11-22;2024-11-26;29227071;29232247;557338000;-28538000;528800000;-384605000;144195000;;187318000;-27964000;159354000;;156386000;156386000
CATC;7962900;USD;2020;FY;2020-12-31;2021-03-15;2023-03-16;6289481;6344409;159758000;-18310000;141448000;-98085000;43363000;;43363000;-11404000;31959000;;31959000;31959000
CATY;6767519;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;78268369;78570638;652358000;16008000;668366000;-284366000;384000000;;381843000;-83539000;298304000;;298304000;298304000
CATY;6767519;USD;2022;FY;2022-12-31;2023-02-28;2025-02-28;76566481;76914817;790511000;-14543000;775968000;-299305000;476663000;;472536000;-111894000;360642000;;360642000;360642000
CATY;6767519;USD;2023;FY;2023-12-31;2024-02-29;2026-03-02;72573025;72862628;810038000;-25978000;784060000;-379807000;404253000;;403582000;-49458000;354124000;;354124000;354124000
CATY;6767519;USD;2024;FY;2024-12-31;2025-02-28;2026-03-02;72068850;72327017;729719000;-37500000;692219000;-374677000;317542000;;317542000;-31563000;285979000;;285979000;285979000
CBAN;12444275;USD;2020;FY;2020-12-31;2021-03-23;2022-03-18;9498783;9498783;79489000;-6558000;72931000;-57719000;15212000;;14630000;-2815000;11815000;;11815000;11815000
CBAN;12444275;USD;2021;FY;2021-12-31;2022-03-18;2023-03-16;11254130;11254130;102479000;-700000;101779000;-78535000;23244000;;23154000;-4495000;18659000;;18659000;18659000
CBAN;12444275;USD;2022;FY;2022-12-31;2023-03-16;2024-03-14;17191079;17191079;115697000;-3370000;112327000;-89475000;22852000;;22852000;-3310000;19542000;;19542000;19542000
CBAN;12444275;USD;2023;FY;2023-12-31;2024-03-14;2025-03-14;17578294;17578294;113878000;-3600000;110278000;-83065000;27213000;;27213000;-5466000;21747000;;21747000;21747000
CBAN;12444275;USD;2024;FY;2024-12-31;2025-03-14;2026-03-13;17557743;17557743;115451000;-3050000;112401000;-82834000;29567000;;29567000;-5699000;23868000;;23868000;23868000
CBFV;9075998;USD;2020;FY;2020-12-31;2021-03-17;2022-03-11;5406290;5406290;51375000;-4000000;47375000;-38074000;9301000;;-9392000;-1248000;-10640000;;-10640000;-10640000
CBFV;9075998;USD;2021;FY;2021-12-31;2022-03-11;2023-03-10;5382441;5392729;51232000;1125000;52357000;-41684000;10673000;;14695000;-3125000;11570000;;11570000;11570000
CBFV;9075998;USD;2022;FY;2022-12-31;2023-03-10;2024-03-13;5136670;5149312;52755000;-3784000;48971000;-34891000;14080000;;14080000;-2833000;11247000;;11247000;11247000
CBFV;9075998;USD;2023;FY;2023-12-31;2024-03-13;2025-03-19;5113978;5122916;68565000;502000;69067000;-38782000;30285000;;30285000;-7735000;22550000;;22550000;22550000
CBKM;259775;USD;2021;FY;2021-06-30;2021-09-16;2022-09-15;3019118;3019118;31049000;-850000;30199000;-19361000;10838000;;10838000;-1850000;8988000;;8988000;8988000
CBKM;259775;USD;2022;FY;2022-06-30;2022-09-15;2023-09-07;3016107;3016107;37481000;-735000;36746000;-22673000;14073000;;13531000;-2339000;11192000;;11192000;11192000
CBKM;259775;USD;2023;FY;2023-06-30;2023-09-07;2024-09-06;3071473;3096552;38462000;-855000;37607000;-24207000;13400000;;12922000;-2248000;10674000;;10674000;10674000
CBKM;259775;USD;2024;FY;2024-06-30;2024-09-06;2025-09-05;3109263;3109263;36888000;-619000;36269000;-25411000;10858000;;10425000;-1845000;8580000;;8580000;8580000
CBNK;10656598;USD;2020;FY;2020-12-31;2021-03-15;2022-03-15;13793000;13800000;134213000;-11242000;122971000;-87834000;35137000;;35137000;-9314000;25823000;;25823000;25823000
CBNK;10656598;USD;2021;FY;2021-12-31;2022-03-15;2023-03-15;13798620;14081403;167329000;-3359000;163970000;-110094000;53876000;;53876000;-13898000;39978000;;39978000;39978000
CBSH;593216;USD;2020;FY;2020-12-31;2021-02-24;2023-02-22;148584002;148584002;1335714000;-137190000;1198524000;-768378000;430146000;11032000;441178000;-87293000;353885000;;354057000;342091000
CBTX;6767595;USD;2020;FY;2020-12-31;2021-02-26;2023-03-15;24761000;24803000;210839000;-27374000;183465000;-127494000;55971000;;55971000;-10437000;45534000;;45534000;45534000
CBTX;6767595;USD;2021;FY;2021-12-31;2022-02-25;2024-02-29;24432000;24544000;237126000;2322000;239448000;-137543000;101905000;;99894000;-18341000;81553000;;81553000;81553000
CBTX;6767595;USD;2022;FY;2022-12-31;2023-03-15;2025-03-03;34738000;35007000;309312000;-50712000;258600000;-171938000;86662000;;62524000;-11092000;51432000;;51432000;51432000
CBTX;6767595;USD;2023;FY;2023-12-31;2024-02-29;2026-02-26;53229000;53313000;461321000;-8943000;452378000;-274939000;177439000;;161884000;-31387000;130497000;;130497000;130497000
CBTX;6767595;USD;2024;FY;2024-12-31;2025-03-03;2026-02-26;53469000;53510000;431038000;2880000;433918000;-288958000;144960000;;144960000;-29957000;115003000;;115003000;115003000
CBU;6767453;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;52969000;53321000;596822000;-14212000;582610000;-376534000;206076000;;206076000;-41400000;164676000;;164676000;164676000
CBU;6767453;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;53977000;54400000;620647000;8839000;629486000;-387938000;241548000;;241348000;-51654000;189694000;;189694000;189694000
CBU;6767453;USD;2022;FY;2022-12-31;2023-03-01;2025-02-28;54043875;54509770;679355000;-14773000;664582000;-424568000;240014000;;240314000;-52233000;188081000;;188081000;188081000
CBU;6767453;USD;2023;FY;2023-12-31;2024-02-29;2026-02-27;53601000;53725000;652119000;-11203000;640916000;-472685000;168231000;;168231000;-36307000;131924000;;131924000;131924000
CBU;6767453;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;52755000;52883000;746303000;-22773000;723530000;-486825000;236705000;;236705000;-54224000;182481000;;182481000;182481000
CCB;7962838;USD;2022;FY;2022-12-31;2023-03-16;2025-03-17;12949266;13514952;294718000;-79064000;215654000;-165033000;50621000;;50621000;-9996000;40625000;;40625000;40625000
CCNE;7962896;USD;2020;FY;2020-12-31;2021-03-04;2023-03-03;16000000;16000000;162770000;-15354000;147416000;-94684000;52732000;;40090000;-7347000;32743000;;32743000;31596000
CFBK;12444609;USD;2020;FY;2020-12-31;2021-03-23;2023-03-31;6029097;6106987;87801000;-10915000;76886000;-40603000;36283000;;36283000;-6675000;29608000;;29608000;27328000
CFBK;12444609;USD;2021;FY;2021-12-31;2022-03-16;2024-03-29;6508156;6650447;53679000;1600000;55279000;-32444000;22835000;;22818000;-4365000;18453000;;18453000;18453000
CFFI;9075922;USD;2020;FY;2020-12-31;2021-03-03;2023-02-28;3648696;3648696;138138000;-11080000;127058000;-95642000;31416000;;29219000;-6795000;22424000;;22117000;22117000
CFFN;7962638;USD;2021;FY;2021-09-30;2021-11-24;2023-11-29;135481232;135495595;203087000;8510000;211597000;-110817000;100780000;;96028000;-19946000;76082000;;76082000;76082000
CFFN;7962638;USD;2022;FY;2022-09-30;2022-11-23;2024-11-27;135700447;135700447;215424000;4630000;220054000;-112851000;107203000;;107203000;-22750000;84453000;;84453000;84453000
CFFN;7962638;USD;2023;FY;2023-09-30;2023-11-29;2025-11-26;133225000;133225000;-18183000;-6838000;-25021000;-113934000;-138955000;;-138955000;37296000;-101659000;;-101659000;-101659000
CFFN;7962638;USD;2024;FY;2024-09-30;2024-11-27;2025-11-26;130670780;130670780;167305000;-1259000;166046000;-111943000;54103000;;54103000;-16093000;38010000;;38010000;38010000
CFG;378202;USD;2020;FY;2020-12-31;2021-02-23;2023-02-17;427062537;428157780;6905000000;-1616000000;5289000000;-3991000000;1298000000;;1298000000;-241000000;1057000000;;1057000000;1057000000
CFG;378202;USD;2021;FY;2021-12-31;2022-02-23;2024-02-16;424697880;426868106;6647000000;411000000;7058000000;-4081000000;2977000000;;2977000000;-658000000;2319000000;;2319000000;2319000000
CFG;378202;USD;2022;FY;2022-12-31;2023-02-17;2025-02-13;475959815;477803142;8021000000;-474000000;7547000000;-4892000000;2655000000;;2655000000;-582000000;2073000000;;2073000000;1960000000
CFR;419929;USD;2020;FY;2020-12-31;2021-02-05;2023-02-03;62727053;63003837;1441455000;-241230000;1200225000;-848904000;351321000;;351321000;-20170000;331151000;;331151000;323621000
CFR;419929;USD;2021;FY;2021-12-31;2022-02-04;2024-02-06;63652000;64097000;1371595000;-63000;1371532000;-881994000;489538000;;489538000;-46459000;443079000;;443079000;435922000
CFR;419929;USD;2022;FY;2022-12-31;2023-02-03;2025-02-06;63652000;64097000;1696101000;-3000000;1693101000;-1024274000;668827000;;668827000;-89677000;579150000;;579150000;572475000
CFR;419929;USD;2023;FY;2023-12-31;2024-02-06;2026-02-05;64204239;64404833;1987206000;-46171000;1941035000;-1228662000;712373000;;712373000;-114400000;597973000;;597973000;591298000
CFR;419929;USD;2024;FY;2024-12-31;2025-02-06;2026-02-05;64120455;64262646;2063710000;-64985000;1998725000;-1302758000;695967000;;695967000;-113425000;582542000;;582542000;575867000
CHCO;6767633;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;14676000;14697000;309071000;-1820000;307251000;-147235000;160016000;;160016000;;160016000;;160016000;160016000
CHMG;9075924;USD;2022;FY;2022-12-31;2023-03-22;2024-03-13;4684000;4684000;95615000;554000;96169000;-59280000;36889000;;36889000;-8106000;28783000;;28783000;28783000
CHMG;9075924;USD;2023;FY;2023-12-31;2024-03-13;2025-03-14;4732000;4732000;99006000;-3262000;95744000;-64243000;31501000;;31501000;-6501000;25000000;;25000000;25000000
CHMG;9075924;USD;2024;FY;2024-12-31;2025-03-14;2026-03-13;4770000;4770000;97289000;46000;97335000;-67250000;30085000;;30085000;-6414000;23671000;;23671000;23671000
CIT;335466;USD;2020;FY;2020-12-31;2021-02-19;2021-02-19;98405000;98405000;2417099999;-800300000;1616799999;-1849800000;-233000001;;-703400001;88100000;-615300001;;-615300001;-646400001
CIVB;9075840;USD;2020;FY;2020-12-31;2021-03-15;2023-04-03;16080863;16080863;117909000;-10112000;107797000;-70665000;37132000;;37132000;-4940000;32192000;;32192000;32192000
CLBK;883513;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;241463033;241463033;252843000;-18447000;234396000;-155050000;79346000;;76257000;-18654000;57603000;;57603000;57603000
CMA;378118;USD;2020;FY;2020-12-31;2021-02-09;2023-02-14;139000000;140000000;2912000000;-537000000;2375000000;-1754000000;621000000;;621000000;-124000000;497000000;;497000000;482000000
CMA;378118;USD;2021;FY;2021-12-31;2022-02-16;2024-02-28;130769231;132870000;2821000000;384000000;3205000000;-1726000000;1479000000;;1479000000;-322000000;1157000000;;1157000000;1139000000
CMA;378118;USD;2022;FY;2022-12-31;2023-02-14;2024-02-28;134911243;136566000;3380000000;-60000000;3320000000;-1860000000;1460000000;;1460000000;-325000000;1135000000;;1135000000;1118000000
CMA;378118;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;132000000;133000000;3445000000;-89000000;3356000000;-2219000000;1137000000;;1137000000;-263000000;874000000;;874000000;855000000
CMTV;12444685;USD;2020;FY;2020-12-31;2021-03-26;2022-03-24;5345988;5345988;34987332000;-1589000000;33398332000;-20391741000;13006591000;;13006591000;-2248089000;10758502000;;10758502000;10758502000
CMTV;12444685;USD;2021;FY;2021-12-31;2022-03-24;2023-03-27;5345988;5345988;38403177000;-624165000;37779012000;-21657586000;16121426000;;16121426000;-2983088000;13138338000;;13138338000;13138338000
CMTV;12444685;USD;2022;FY;2022-12-31;2023-03-27;2023-03-27;5403938;5403938;39727605000;-978000000;38749605000;-21874339000;16875266000;;16875266000;-3135326000;13739940000;;13739940000;13739940000
CNBKA;9076333;USD;2020;FY;2020-12-31;2021-03-10;2021-03-10;5567909;5567909;125929000;-5825000;120104000;-73488000;46616000;;46616000;-4407000;42209000;;42209000;42209000
CNOB;7962750;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;39626000;39886000;278569000;5500000;284069000;-109011000;175058000;;175058000;-44705000;130353000;;130353000;128636000
CNOB;7962750;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;35286058;35286058;315362000;-17750000;297612000;-126388000;171224000;;171224000;-46013000;125211000;;125211000;119174000
CNOB;7962750;USD;2023;FY;2023-12-31;2024-02-23;2026-02-24;38809000;38962000;269107000;-8200000;260907000;-143949000;116958000;;116958000;-29955000;87003000;;87003000;80967000
CNOB;7962750;USD;2024;FY;2024-12-31;2025-02-21;2026-02-24;38270000;38481000;264065000;-13800000;250265000;-151798000;98467000;;98467000;-24674000;73793000;;73793000;67757000
