ticker,upright_is_estimated,upright_peer_group_used,upright_peer_count,upright_revenue_musd,upright_employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,upright_estimate_notes
HPE,True,"sub_industry:Technology Hardware, Storage & Peripherals",6,41871.0,67000,21.0,49.0,-7.6,0.45,-3.05,0.3,-0.8,-0.35,9.25,-1.4,0.9,-4.1,7.0,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Technology Hardware, Storage & Peripherals' (6 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
HONA,True,sub_industry:Aerospace & Defense,11,17915.0,30000,-62.0,90.0,-13.2,0.9,-6.6,0.6,-2.1,-6.3,15.7,-8.0,1.7,-3.1,1.8,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Aerospace & Defense' (11 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
HON,True,sector:Industrials,78,38057.0,101000,-0.5,66.0,-12.4,1.6,-6.45,1.0,-2.0,-0.4,13.8,-1.75,1.6,-2.3,0.7,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Industrials' (78 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
ISRG,True,sub_industry:Health Care Equipment,13,11034.4,17021,55.0,16.0,-5.5,0.2,-2.3,0.1,-0.6,-0.5,9.7,-2.6,13.6,-3.1,0.6,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Health Care Equipment' (13 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
J,True,sector:Industrials,78,14219.2,47000,-0.5,66.0,-12.4,1.6,-6.45,1.0,-2.0,-0.4,13.8,-1.75,1.6,-2.3,0.7,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Industrials' (78 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
KKR,True,sub_industry:Asset Management & Custody Banks,11,25833.1,5043,5.0,63.0,-2.3,0.2,-1.2,0.2,-0.3,-0.4,6.8,-0.4,1.0,-6.3,1.6,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Asset Management & Custody Banks' (11 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
META,True,sector:Communication Services,20,228247.0,75472,37.5,34.5,-4.15,0.2,-2.1500000000000004,0.1,-0.35,-0.3,11.25,-4.0,4.449999999999999,-4.45,5.5,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Communication Services' (20 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
ORCL,True,sub_industry:Application Software,12,71776.0,141000,40.5,31.0,-4.6,0.4,-2.05,0.3,-0.55,-0.2,12.0,-0.8,1.0,-5.5,4.65,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Application Software' (12 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
PSKY,True,sector:Communication Services,20,29110.0,17600,37.5,34.5,-4.15,0.2,-2.1500000000000004,0.1,-0.35,-0.3,11.25,-4.0,4.449999999999999,-4.45,5.5,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Communication Services' (20 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
PCG,True,sub_industry:Multi-Utilities,10,25837.0,29010,0.0,66.5,-26.15,6.45,-14.95,5.5,-3.75,-1.25,25.2,-2.6,0.45,-3.3499999999999996,0.55,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Multi-Utilities' (10 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
Q,True,sector:Information Technology,65,5210.0,10000,27.0,44.0,-6.5,0.4,-2.8,0.3,-0.8,-0.3,10.5,-1.2,1.2,-4.4,4.7,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Information Technology' (65 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
RDDT,True,sector:Communication Services,20,2778.8,2555,37.5,34.5,-4.15,0.2,-2.1500000000000004,0.1,-0.35,-0.3,11.25,-4.0,4.449999999999999,-4.45,5.5,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Communication Services' (20 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
O,True,sector:Real Estate,28,6065.5,544,15.0,54.5,-8.95,0.6,-4.15,0.4,-1.2,-0.3,13.9,-1.05,1.45,-3.1500000000000004,0.3,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Real Estate' (28 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
RVTY,True,sub_industry:Health Care Equipment,13,2911.8,11000,55.0,16.0,-5.5,0.2,-2.3,0.1,-0.6,-0.5,9.7,-2.6,13.6,-3.1,0.6,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Health Care Equipment' (13 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
SNDK,True,"sub_industry:Technology Hardware, Storage & Peripherals",6,20248.0,11100,21.0,49.0,-7.6,0.45,-3.05,0.3,-0.8,-0.35,9.25,-1.4,0.9,-4.1,7.0,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Technology Hardware, Storage & Peripherals' (6 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
SW,True,sector:Materials,24,31326.0,96000,-57.5,88.0,-19.6,1.6,-10.5,1.0,-2.8,-0.7,9.5,-3.0,2.3,-2.0,0.2,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Materials' (24 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
SOLV,True,sector:Health Care,55,8310.0,20584,52.0,19.0,-6.2,0.2,-2.5,0.1,-0.9,-0.9,9.9,-2.4,15.2,-3.9,0.6,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Health Care' (55 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
SO,True,sub_industry:Electric Utilities,14,30179.0,29502,16.5,53.0,-23.75,7.699999999999999,-13.35,6.5,-3.45,-1.2,26.55,-2.25,0.5,-3.55,0.7,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Electric Utilities' (14 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
SMCI,True,"sub_industry:Technology Hardware, Storage & Peripherals",6,39063.1,7000,21.0,49.0,-7.6,0.45,-3.05,0.3,-0.8,-0.35,9.25,-1.4,0.9,-4.1,7.0,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Technology Hardware, Storage & Peripherals' (6 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
TPL,True,sub_industry:Oil & Gas Exploration & Production,8,897.5,114,-102.5,96.0,-30.25,0.75,-17.1,0.55,-5.3,-3.2,17.9,-4.05,0.45,-2.7,1.45,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sub_industry = 'Oil & Gas Exploration & Production' (8 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
TKO,True,sector:Communication Services,20,5301.9,4000,37.5,34.5,-4.15,0.2,-2.1500000000000004,0.1,-0.35,-0.3,11.25,-4.0,4.449999999999999,-4.45,5.5,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Communication Services' (20 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
ULTA,True,sector:Consumer Discretionary,44,12955.5,21382,-32.5,81.5,-15.5,0.9,-6.85,0.6,-2.1,-0.5,11.5,-2.45,2.6500000000000004,-2.75,0.2,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Consumer Discretionary' (44 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
VMRK,True,sector:Real Estate,28,3089.9,,15.0,54.5,-8.95,0.6,-4.15,0.4,-1.2,-0.3,13.9,-1.05,1.45,-3.1500000000000004,0.3,"PROXY ESTIMATE, not real Upright data -- see pipeline/upright/estimate_upright_gaps.py. Peer group: sector = 'Real Estate' (28 real Upright-covered peers, floor=5). Each cents-per-dollar-of-revenue figure is the MEDIAN of that peer group's real Upright values for the same metric -- a crude industry-average proxy, not Upright's own company-specific modeling. Revenue/employee figures are this company's own real data (from yfinance), not estimated."
