ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
FTNT,FORTINET,FORTINET,Corporate Services,5304.8,13568.0,41.0,30.0,-4.8,0.2,-2.0,0.1,-0.5,-0.3,13.0,-1.0,1.7,-6.1,5.9,Scarce human capital 5.30k scarce worker years,Taxes 5.32M days of primary education,https://uprightplatform.com/company/12a18c72-e420-4016-ab7f-dbdae10d863f/Fortinet/
MRNA,MODERNA,MODERNA,Pharmaceuticals and Biotechnology,5153.0,5800.0,83.0,1.0,-6.6,0.2,-2.5,,-1.3,-1.3,9.0,-3.1,74.2,-3.5,1.1,Scarce human capital 2.99k scarce worker years,Physical diseases 302k life years,https://uprightplatform.com/company/2d7c9b12-d093-4626-ba77-973053339a5e/Moderna/
ALB,ALBEMARLE,ALBEMARLE,Chemicals,5142.73,8300.0,-43.0,85.0,-21.0,3.5,-11.6,2.3,-3.4,-0.7,11.5,-4.1,4.5,-2.4,0.1,GHG emissions 1.43M tons of GHG emissions,Societal infrastructure 6.51M long-haul train rides,https://uprightplatform.com/company/3771b586-44f2-47a8-843d-babd4f0e7118/Albemarle/
KEYS,KEYSIGHT TECHNOLOGIES,KEYSIGHT TECHNOLOGIES,Industrial Manufacturing and Services,4979.0,15500.0,31.0,40.0,-5.6,0.8,-2.6,0.5,-0.6,-1.1,11.9,-2.5,1.4,-5.0,6.6,Scarce human capital 4.12k scarce worker years,Taxes 5.24M days of primary education,https://uprightplatform.com/company/ffe88211-1845-432a-9c5b-9b886f888aa4/Keysight%20Technologies/
VTR,VENTAS,VENTAS,Real Estate,4801.6,486.0,42.0,30.0,-7.5,0.6,-3.8,0.5,-0.8,-0.5,14.9,-1.2,4.9,-2.9,0.3,GHG emissions 436k tons of GHG emissions,Jobs 31.2k direct or indirect jobs,https://uprightplatform.com/company/78da620f-641e-4f51-b371-dc3528809e26/Ventas/
AWK,AMERICAN WATER,AMERICAN WATER,Energy and Environmental,4684.0,6700.0,67.0,7.0,-7.7,4.2,-4.2,0.5,-1.5,-0.4,29.4,-1.6,4.0,-2.9,0.2,GHG emissions 467k tons of GHG emissions,Societal infrastructure 19.3M long-haul train rides,https://uprightplatform.com/company/4929bbef-71ef-42c8-b63b-4c36d6022041/American%20Water/
CBOE,CBOE GLOBAL MARKETS,CBOE GLOBAL MARKETS,Financial Services,4531.8,1685.0,-21.0,77.0,-1.5,0.1,-0.7,0.1,-0.2,-0.7,5.5,-0.3,0.8,-6.8,1.3,Scarce human capital 5.03k scarce worker years,Taxes 2.28M days of primary education,https://uprightplatform.com/company/b277c8e3-36a3-4c1a-a4a7-357d1f0cbbc1/Cboe%20Global%20Markets/
HAS,HASBRO,HASBRO,Consumer Product Manufacturing,4250.8,4985.0,13.0,56.0,-8.4,0.9,-3.6,0.8,-1.2,-1.3,8.5,-5.8,10.7,-2.2,0.2,GHG emissions 366k tons of GHG emissions,Meaning & joy 105M roller coaster rides,https://uprightplatform.com/company/0ea73391-a4b7-4c8c-b70e-7d443c5fee73/Hasbro/
GEN,GEN DIGITAL INC,GEN DIGITAL INC,Computer Software,4227.0,3500.0,44.0,27.0,-4.3,0.2,-1.8,0.1,-0.5,-0.4,13.7,-1.0,1.8,-6.9,6.4,Scarce human capital 4.78k scarce worker years,Taxes 4.61M days of primary education,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GNRC,GENERAC,GENERAC,Electronics,4124.7,9239.0,26.0,45.0,-13.1,3.8,-6.8,3.0,-2.2,-0.2,17.8,-1.5,0.9,-2.1,0.2,GHG emissions 675k tons of GHG emissions,Societal infrastructure 12.9M long-haul train rides,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
PNR,PENTAIR,PENTAIR,Industrial Manufacturing and Services,4093.1,9750.0,30.0,42.0,-10.3,2.6,-5.5,0.9,-1.7,-0.3,14.4,-1.3,3.0,-2.2,0.0,GHG emissions 540k tons of GHG emissions,Societal infrastructure 7.38M long-haul train rides,https://uprightplatform.com/company/81e38bda-b127-4edc-85c7-e0e2d7e2880d/Pentair/
BF.B,BROWN-FORMAN,BROWN-FORMAN,Food and Beverage,3910.0,5000.0,-196.0,100.0,-8.8,0.3,-3.1,0.2,-2.2,-0.4,10.2,-45.6,8.5,-1.6,0.0,Physical diseases 82.7k life years,Taxes 5.27M days of primary education,https://uprightplatform.com/company/4a94f2ce-aa2e-4118-94d2-239d32af96b8/Brown-Forman/
MTD,METTLER-TOLEDO,METTLER-TOLEDO,Industrial Manufacturing and Services,3788.31,17300.0,25.0,46.0,-9.0,0.7,-4.1,0.4,-1.2,-0.2,10.5,-1.0,2.5,-3.3,4.3,GHG emissions 376k tons of GHG emissions,Taxes 3.41M days of primary education,https://uprightplatform.com/company/3d5ef53e-acd2-4fff-bc4f-2e53b93ab072/Mettler-Toledo/
IDXX,IDEXX LABORATORIES,IDEXX LABORATORIES,Pharmaceuticals and Biotechnology,3660.95,11000.0,43.0,28.0,-7.1,0.7,-3.0,0.1,-0.6,-0.4,9.7,-2.2,8.9,-2.7,2.2,GHG emissions 264k tons of GHG emissions,Taxes 3.22M days of primary education,https://uprightplatform.com/company/ca069db4-398f-406f-91c0-27e5bbbf05df/Idexx%20Laboratories/
EXR,EXTRA SPACE STORAGE,EXTRA SPACE STORAGE,Real Estate,3377.54,8012.0,20.0,50.0,-7.3,1.1,-3.8,0.9,-0.8,-0.5,13.3,-1.1,0.6,-3.2,0.0,GHG emissions 308k tons of GHG emissions,Societal infrastructure 4.77M long-haul train rides,https://uprightplatform.com/company/13651c65-810d-4b1b-849c-5832d02488e1/Extra%20Space%20Storage/
IEX,IDEX,IDEX,Industrial Manufacturing and Services,3273.9,9000.0,18.0,52.0,-13.2,2.0,-6.9,1.2,-2.2,-0.5,14.6,-1.6,3.8,-2.6,1.5,GHG emissions 542k tons of GHG emissions,Societal infrastructure 5.51M long-haul train rides,https://uprightplatform.com/company/5c03c6ae-64cd-41f0-b2e7-2e7589381f80/Idex/
BXP,BOSTON PROPERTIES,BOSTON PROPERTIES,Real Estate,3200.0,836.0,4.0,64.0,-11.1,0.7,-5.9,0.5,-1.4,-0.3,13.9,-1.2,1.5,-3.2,0.3,GHG emissions 450k tons of GHG emissions,Taxes 3.45M days of primary education,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
WAT,WATERS,WATERS,Hospitals and Healthcare,3046.06,7600.0,39.0,33.0,-6.5,0.6,-3.3,0.3,-0.8,-0.4,10.4,-1.1,4.8,-3.4,2.7,Scarce human capital 1.71k scarce worker years,Taxes 2.57M days of primary education,https://uprightplatform.com/company/f24b7cbd-1e4f-46d5-83a8-6d1ff53b6a9a/Waters/
ARE,ALEXANDRIA REAL ESTATE EQUITIES,ALEXANDRIA REAL ESTATE EQUITIES,Real Estate,3038.95,514.0,41.0,31.0,-9.3,0.4,-4.2,0.3,-1.3,-1.0,15.9,-1.9,11.5,-5.5,2.1,Scarce human capital 2.73k scarce worker years,Physical diseases 22.5k life years,https://uprightplatform.com/company/ffe88ca4-1165-4c63-a680-38de4e770753/Alexandria%20Real%20Estate%20Equities/
FFIV,F5 NETWORKS,F5 NETWORKS,Corporate Services,3024.66,6557.0,46.0,25.0,-4.2,0.4,-1.9,0.2,-0.5,-0.3,13.3,-0.7,1.2,-6.7,7.1,Scarce human capital 3.33k scarce worker years,Taxes 3.45M days of primary education,https://uprightplatform.com/company/f0baf061-6ec1-40f6-8e23-d94dad9e1600/F5%20Networks/
MSCI,MSCI,MSCI,Corporate Services,2986.72,6208.0,28.0,43.0,-1.5,0.1,-0.7,0.1,-0.2,-0.1,6.8,-0.3,0.5,-6.3,4.1,Scarce human capital 3.10k scarce worker years,Taxes 1.98M days of primary education,https://uprightplatform.com/company/ccaf6862-0f0f-4a12-8575-997642608c71/MSCI/
SBAC,SBA COMMUNICATIONS,SBA COMMUNICATIONS,Real Estate,2724.52,1720.0,43.0,28.0,-5.9,0.6,-2.9,0.3,-0.6,-0.3,10.6,-3.6,5.7,-3.9,7.4,Scarce human capital 1.75k scarce worker years,Taxes 2.83M days of primary education,https://uprightplatform.com/company/d009ca1d-2b41-445f-ae45-f3bbde03df80/Sba%20Communications/
VRSK,VERISK ANALYTICS,VERISK ANALYTICS,Corporate Services,2681.4,7800.0,-30.0,81.0,-1.7,0.1,-0.9,0.1,-0.2,-1.2,6.0,-0.3,0.2,-5.0,0.0,Scarce human capital 2.18k scarce worker years,Taxes 1.45M days of primary education,https://uprightplatform.com/company/372590bf-cc7c-490c-b920-62a2ee1d8106/Verisk%20Analytics/
NDSN,NORDSON,NORDSON,Industrial Manufacturing and Services,2651.35,7900.0,-5.0,70.0,-11.7,2.0,-5.7,1.0,-1.9,-0.3,10.6,-1.8,1.6,-2.2,0.9,GHG emissions 362k tons of GHG emissions,Taxes 2.03M days of primary education,https://uprightplatform.com/company/c96518d3-3a8f-417e-b1a5-213ffb35dda9/Nordson/
FDS,FACTSET RESEARCH SYSTEMS,FACTSET RESEARCH SYSTEMS,Corporate Services,2401.06,12840.0,26.0,45.0,-1.5,0.1,-0.8,0.1,-0.2,-0.1,6.9,-0.4,0.6,-6.0,3.2,Scarce human capital 2.36k scarce worker years,Taxes 1.65M days of primary education,https://uprightplatform.com/company/11b03530-ec7c-4d4e-aaad-6c415463692c/Factset%20Research%20Systems/
DOC,HEALTHPEAK PROPERTIES,HEALTHPEAK PROPERTIES,Real Estate,2181.0,387.0,32.0,40.0,-8.0,0.3,-4.0,0.2,-1.0,-0.5,13.7,-0.7,3.9,-3.5,0.7,GHG emissions 211k tons of GHG emissions,Taxes 1.98M days of primary education,https://uprightplatform.com/company/6511fcdf-3443-42be-926e-6c3882a32921/Healthpeak%20Properties/
KIM,KIMCO REALTY,KIMCO REALTY,Real Estate,2123.06,717.0,0.0,66.0,-7.4,0.4,-3.5,0.3,-1.2,-0.2,10.0,-0.5,0.9,-3.4,0.1,GHG emissions 176k tons of GHG emissions,Taxes 1.59M days of primary education,https://uprightplatform.com/company/59b8c35c-e971-453b-997d-546d364c8af9/Kimco%20Realty/
TYL,TYLER TECHNOLOGIES,TYLER TECHNOLOGIES,Computer Software,2077.61,7462.0,49.0,22.0,-3.2,0.4,-1.5,0.3,-0.4,-0.3,13.7,-0.5,0.7,-5.4,3.5,Scarce human capital 1.84k scarce worker years,Taxes 2.18M days of primary education,https://uprightplatform.com/company/6135af6c-307b-4fad-95a1-e0742130b0c2/Tyler%20Technologies/
APA,APA GROUP,APA GROUP,Energy and Environmental,1987.94,2271.0,-27.0,80.0,-27.2,3.7,-15.1,3.1,-4.3,-2.1,22.7,-2.2,0.5,-3.1,0.4,GHG emissions 719k tons of GHG emissions,Societal infrastructure 8.79M long-haul train rides,https://uprightplatform.com/company/97d30c8f-1ec6-44c5-b462-2cb366b15f7c/Apa%20Group/
ESS,ESSEX PROPERTY,ESSEX PROPERTY,Real Estate,1669.39,1715.0,10.0,59.0,-11.5,0.4,-6.4,0.3,-1.2,-0.4,16.1,-1.4,2.2,-3.6,0.0,GHG emissions 255k tons of GHG emissions,Taxes 1.88M days of primary education,https://uprightplatform.com/company/f451ccb6-0ce7-440d-9b06-78ed946a6010/Essex%20Property/
UDR,UDR,UDR,Real Estate,1620.66,1397.0,41.0,30.0,-11.3,2.0,-6.3,1.6,-1.2,-0.4,23.7,-1.1,1.5,-3.1,0.0,GHG emissions 245k tons of GHG emissions,Societal infrastructure 6.64M long-haul train rides,https://uprightplatform.com/company/a0118dee-3f0b-49aa-b0d1-562d0429e2f4/Udr/
REG,REGENCY CENTERS,REGENCY CENTERS,Real Estate,1553.52,507.0,-2.0,68.0,-8.1,0.2,-3.5,0.1,-1.4,-0.2,10.8,-0.4,0.3,-2.8,0.0,GHG emissions 129k tons of GHG emissions,Taxes 1.55M days of primary education,https://uprightplatform.com/company/deaffe7f-4f13-44b0-9001-a6914e21cea7/Regency%20Centers/
FRT,FEDERAL REALTY INVESTMENT,FEDERAL REALTY INVESTMENT,Real Estate,1165.79,304.0,-12.0,73.0,-9.7,0.2,-4.5,0.1,-1.3,-0.2,11.1,-0.5,0.5,-2.8,0.0,GHG emissions 125k tons of GHG emissions,Taxes 1.14M days of primary education,https://uprightplatform.com/company/26102880-057c-4fcc-870c-e823eb994b67/Federal%20Realty%20Investment/
BA,BOEING,BOEING,,66517.0,182000.0,-53.0,88.0,-13.7,0.8,-6.6,0.6,-2.4,-6.3,15.7,-8.0,2.0,-3.1,1.9,,,https://uprightplatform.com/company/a006e3ac-a68e-4bbb-adbb-d9d740c1b39c/Boeing/
MMM,3M,3M,,32681.0,85000.0,5.0,63.0,-11.6,1.1,-6.2,0.6,-1.7,-0.4,9.9,-1.7,4.9,-2.1,0.8,,,https://uprightplatform.com/company/501931ad-1212-425a-bdb1-adfda6590507/3M/
AOS,A.O. SMITH,A.O. SMITH,,3830.2,11500.0,28.0,43.0,-17.7,3.5,-9.6,2.1,-3.5,-0.6,26.3,-1.8,1.2,-2.3,0.2,,,https://uprightplatform.com/company/87cd361c-d974-472d-8bb3-d7ae85b75b19/A.O.%20Smith/
ACN,ACCENTURE,ACCENTURE,,64588.25,733000.0,33.0,39.0,-4.0,0.3,-1.9,0.2,-0.6,-1.1,11.8,-1.6,1.8,-4.9,3.2,,,https://uprightplatform.com/company/fa3ce74e-4f80-41df-a139-49330fb8d26b/Accenture/
AES,AES,AES,,12032.0,9100.0,-8.0,71.0,-27.4,7.3,-16.3,4.9,-4.1,-1.4,23.8,-2.6,0.5,-3.5,0.8,,,https://uprightplatform.com/company/5aeaf80d-b572-4f34-9bf6-648145fa7e25/AES/
ABNB,AIRBNB,AIRBNB,,12241.0,8200.0,71.0,4.0,-3.9,5.0,-1.2,2.5,-0.5,-0.1,13.3,-0.3,2.1,-2.9,4.1,,,https://uprightplatform.com/company/3970f097-62b4-4816-81f3-52849660514b/Airbnb/
AKAM,AKAMAI TECHNOLOGIES,AKAMAI TECHNOLOGIES,,4083.25,10811.0,34.0,38.0,-4.2,0.4,-1.9,0.3,-0.3,-0.4,12.0,-1.8,2.0,-6.1,4.5,,,https://uprightplatform.com/company/a51a9091-08e8-47f5-af1e-0e717964a1b6/Akamai%20Technologies/
ALGN,ALIGN TECHNOLOGY,ALIGN TECHNOLOGY,,4034.96,20945.0,52.0,19.0,-4.8,0.2,-1.9,0.1,-0.6,-0.2,9.4,-0.5,7.7,-2.8,0.2,,,https://uprightplatform.com/company/3f8eb097-853f-4ca5-85ab-71e4018b7410/Align%20Technology/
ALLE,ALLEGION,ALLEGION,,3674.8,12400.0,67.0,7.0,-4.5,0.5,-2.7,0.3,-0.6,-0.1,20.6,-0.4,1.7,-2.8,0.8,,,https://uprightplatform.com/company/8a2212f6-db87-4d86-bd6b-147b3511be50/Allegion/
LNT,ALLIANT ENERGY,ALLIANT ENERGY,,4275.0,3281.0,23.0,48.0,-22.3,9.3,-11.4,7.7,-3.5,-1.2,28.1,-2.1,0.5,-4.0,0.5,,,https://uprightplatform.com/company/e0987bd7-a4d4-4e8a-8307-b7c4893146e2/Alliant%20Energy/
MO,ALTRIA,ALTRIA,,20444.0,6200.0,-774.0,100.0,-9.1,0.0,-1.4,,-2.5,-9.5,17.2,-157.2,3.1,-1.9,0.0,,,https://uprightplatform.com/company/c7698125-7245-4bd4-8860-e3316eb281d2/Altria/
AEE,AMEREN,AMEREN,,7500.0,9372.0,25.0,46.0,-23.3,6.7,-12.6,5.8,-3.5,-1.1,34.8,-2.7,0.4,-4.6,0.3,,,https://uprightplatform.com/company/4c153976-d803-4b0d-9226-f1bb78892039/Ameren/
AEP,AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER,,19721.0,17581.0,13.0,56.0,-23.1,6.8,-13.7,5.6,-2.9,-0.9,26.5,-2.2,0.4,-3.7,0.7,,,https://uprightplatform.com/company/73c21169-9835-4426-b39f-fec6df3dea8a/American%20Electric%20Power/
AME,AMETEK,AMETEK,,6980.19,21500.0,-9.0,72.0,-12.4,1.3,-6.7,0.9,-1.9,-0.3,11.2,-1.4,1.1,-2.3,1.5,,,https://uprightplatform.com/company/fd421761-1ed2-4817-8827-3282b55ef109/Ametek/
APH,AMPHENOL,AMPHENOL,,13392.7,125000.0,14.0,55.0,-9.4,0.7,-4.1,0.4,-1.4,-0.6,11.3,-1.5,0.7,-2.8,3.9,,,https://uprightplatform.com/company/7de4d2ea-36d2-4ea4-9e6c-b79d9fc97079/Amphenol/
ADI,ANALOG DEVICES,ANALOG DEVICES,,11019.71,24000.0,24.0,47.0,-7.8,1.0,-3.7,0.7,-1.1,-0.3,11.1,-1.4,1.1,-3.2,3.5,,,https://uprightplatform.com/company/35a057ed-c8c0-48b0-a4d5-ffa0ad80676f/Analog%20Devices/
AON,AON,AON,,16357.0,60000.0,12.0,57.0,-2.2,0.2,-1.1,0.1,-0.3,-0.7,5.9,-0.5,2.3,-4.6,0.5,,,https://uprightplatform.com/company/72574e42-ec4b-4636-b7c2-728a92af1493/AON/
APO,APOLLO GLOBAL MANAGEMENT,APOLLO GLOBAL MANAGEMENT,,26262.0,4879.0,9.0,60.0,-2.2,0.4,-1.0,0.2,-0.3,-0.4,7.7,-0.5,0.8,-5.3,0.3,,,https://uprightplatform.com/company/c0e0cbd5-279f-4dc3-9262-b8a0b6d9be72/Apollo%20Global%20Management/
APP,APPLOVIN,APPLOVIN,,5805.76,898.0,-17.0,76.0,-6.7,0.1,-4.0,0.1,-0.3,-0.1,11.6,-2.5,0.6,-7.2,1.7,,,https://uprightplatform.com/company/87d0aed0-3a08-453c-8ab3-0fcbcb3b29fa/AppLovin/
ARES,ARES MANAGEMENT,ARES MANAGEMENT,,3427.88,2100.0,23.0,47.0,-4.5,0.4,-2.4,0.3,-0.6,-0.4,11.1,-0.6,1.6,-4.9,0.5,,,https://uprightplatform.com/company/75f79f30-c82b-4cc7-a1ef-e4943f3a036c/Ares%20Management/
ATO,ATMOS ENERGY,ATMOS ENERGY,,4623.22,5260.0,-44.0,86.0,-32.5,1.2,-17.6,0.9,-5.3,-2.0,25.9,-2.5,0.4,-2.7,0.1,,,https://uprightplatform.com/company/2ca25638-97cb-42d1-b98f-102b904b0f05/Atmos%20Energy/
AZO,AUTOZONE,AUTOZONE,,18490.0,75600.0,-42.0,85.0,-12.3,0.8,-6.9,0.6,-1.7,-0.1,10.8,-1.7,0.6,-3.2,0.0,,,https://uprightplatform.com/company/b92427a1-0f30-4e78-a50f-afaf90085029/AutoZone/
AVY,AVERY DENNISON,AVERY DENNISON,,8855.5,35000.0,-65.0,90.0,-13.4,1.7,-7.5,1.2,-2.0,-0.6,7.3,-2.3,1.5,-2.2,0.7,,,https://uprightplatform.com/company/8874360e-1529-43a6-bddc-6a5039e15609/Avery%20Dennison/
BRK.B,BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY,,371433.0,392400.0,-12.0,73.0,-11.4,1.8,-5.4,1.3,-1.7,-0.8,10.4,-2.5,3.1,-3.0,0.5,,,https://uprightplatform.com/company/1ee6e253-fe24-4287-9937-319a6e41519d/Berkshire%20Hathaway/
TECH,BIO-TECHNE,BIO-TECHNE,,1136.7,3100.0,62.0,11.0,-5.8,0.2,-2.4,0.1,-0.7,-0.8,11.9,-0.9,14.3,-4.0,3.4,,,https://uprightplatform.com/company/fc49b3d9-f248-4bee-9607-34038a7ed56a/Bio-Techne/
BX,BLACKSTONE,BLACKSTONE,,10328.82,4895.0,2.0,65.0,-3.7,0.5,-1.8,0.4,-0.5,-0.3,7.2,-0.4,0.9,-4.4,0.3,,,https://uprightplatform.com/company/460fe7bf-32b2-414a-95cf-54df65b4462e/Blackstone/
XYZ,BLOCK,BLOCK,,24121.0,11372.0,-213.0,100.0,-28.6,0.2,-26.4,0.1,-0.3,-6.2,12.4,-0.4,0.5,-7.5,0.6,,,https://uprightplatform.com/company/1d530a81-d4a6-4dde-850d-c8d823b605b2/Block/
BKNG,BOOKING,BOOKING,,23739.0,24300.0,12.0,57.0,-4.7,0.0,-2.0,0.0,-0.8,-0.1,9.1,-0.6,0.9,-5.6,2.3,,,https://uprightplatform.com/company/1379b1cf-e0ed-4921-bc3a-a1fae36918b8/Booking/
AVGO,BROADCOM,BROADCOM,,52432.0,37000.0,34.0,38.0,-5.6,0.6,-2.5,0.4,-0.6,-0.3,10.7,-1.2,1.1,-4.7,5.6,,,https://uprightplatform.com/company/ff11e965-f8f4-4d22-aa96-5abfa241dbd9/Broadcom/
BRO,BROWN & BROWN,BROWN & BROWN,,5058.0,17403.0,13.0,56.0,-2.2,0.1,-1.1,0.1,-0.3,-0.5,6.2,-0.5,1.9,-4.4,0.5,,,https://uprightplatform.com/company/0e011ec6-65ad-44cb-92a1-7f214af25062/Brown%20%26%20Brown/
BLDR,BUILDERS FIRSTSOURCE,BUILDERS FIRSTSOURCE,,17032.82,29000.0,1.0,65.0,-11.8,1.5,-6.1,1.3,-1.5,-0.7,12.0,-1.2,1.0,-1.5,0.9,,,https://uprightplatform.com/company/151bfe02-3c03-439f-803b-9d79bc05201f/Builders%20FirstSource/
BG,BUNGE LIMITED,BUNGE LIMITED,,51334.0,37000.0,-4.0,69.0,-17.1,1.6,-6.8,1.1,-2.8,-0.4,7.6,-4.5,13.5,-1.5,0.1,,,https://uprightplatform.com/company/90f46343-351d-4e58-b009-6b6fe9d70f81/Bunge%20Limited/
CDNS,CADENCE DESIGN SYSTEMS,CADENCE DESIGN SYSTEMS,,5089.29,13152.0,14.0,55.0,-7.9,0.3,-3.1,0.2,-1.1,-0.2,10.2,-0.9,0.6,-3.7,3.7,,,https://uprightplatform.com/company/c7acd3e4-35e4-4fb9-b923-e6c10b912227/Cadence%20Design%20Systems/
CPT,CAMDEN PROPERTY,CAMDEN PROPERTY,,1573.54,1640.0,16.0,54.0,-13.5,0.6,-8.2,0.4,-1.4,-0.6,18.5,-0.8,1.5,-2.9,0.6,,,https://uprightplatform.com/company/06d3e78b-369e-46ee-a0eb-c36f5b113901/Camden%20Property/
CCL,CARNIVAL,CARNIVAL,,26976.0,112000.0,-51.0,87.0,-20.0,1.9,-11.1,1.2,-4.1,-0.2,10.7,-1.3,3.6,-3.2,0.2,,,https://uprightplatform.com/company/a91790e7-0204-42d1-804d-0f84d1ab1fb7/Carnival/
CVNA,CARVANA,CARVANA,,14520.0,16600.0,-7.0,71.0,-16.2,1.9,-8.1,1.3,-2.7,-0.4,19.0,-5.4,2.5,-5.1,1.8,,,https://uprightplatform.com/company/b94e2fc5-3e48-42a9-92c3-37e0f6efe95d/Carvana/
CASY,CASEY'S GENERAL STORES,CASEY'S GENERAL STORES,,14862.91,23338.0,-55.0,88.0,-24.6,0.7,-13.0,0.5,-4.4,-0.7,20.1,-7.7,2.8,-3.7,0.1,,,https://uprightplatform.com/company/1d22bfdc-043a-4fcc-b948-33ea9833e1e2/Casey's%20General%20Stores/
CDW,CDW,CDW,,20999.0,15100.0,27.0,44.0,-6.8,0.6,-2.8,0.4,-0.6,-0.6,9.8,-2.6,2.6,-4.4,6.7,,,https://uprightplatform.com/company/6b58ac5d-2fb4-4933-b64d-6f792517695c/CDW/
CRL,CHARLES RIVER LABORATORIES,CHARLES RIVER LABORATORIES,,4028.62,18600.0,63.0,9.0,-4.8,0.0,-1.5,,-1.0,-1.2,11.0,-2.7,22.2,-5.1,4.1,,,https://uprightplatform.com/company/86ed38ec-4a86-4370-9e69-5c70e2d291fd/Charles%20River%20Laboratories/
CMG,CHIPOTLE MEXICAN GRILL,CHIPOTLE MEXICAN GRILL,,11925.6,116068.0,-56.0,89.0,-15.8,0.7,-5.2,0.5,-2.8,-0.4,9.9,-17.1,11.7,-1.6,0.0,,,https://uprightplatform.com/company/9ffcae30-5d8e-46e7-a32d-9f58c1a41aeb/Chipotle%20Mexican%20Grill/
CHD,CHURCH & DWIGHT,CHURCH & DWIGHT,,6203.2,5750.0,-4.0,69.0,-11.4,0.4,-5.0,0.3,-2.1,-0.3,7.0,-2.2,8.1,-2.2,0.0,,,https://uprightplatform.com/company/0fb2608c-ae19-48f2-8459-2dfb6549155a/Church%20%26%20Dwight/
CIEN,CIENA,CIENA,,5124.29,8898.0,42.0,29.0,-5.4,0.4,-2.3,0.3,-0.7,-0.2,12.0,-1.9,1.3,-5.1,8.3,,,https://uprightplatform.com/company/7493d554-d52e-4b16-8cd0-e060af878e6d/Ciena/
CINF,CINCINNATI FINANCIAL,CINCINNATI FINANCIAL,,11672.0,5624.0,-16.0,75.0,-4.8,0.3,-2.5,0.2,-0.8,-0.6,7.6,-0.8,1.0,-4.2,0.1,,,https://uprightplatform.com/company/25d24cdb-3d96-4301-b256-8c8c2d8238ca/Cincinnati%20Financial/
CFG,CITIZENS FINANCIAL,CITIZENS FINANCIAL,,8224.0,17354.0,30.0,42.0,-4.0,0.2,-2.3,0.1,-0.5,-0.5,11.3,-1.1,2.1,-5.1,1.7,,,https://uprightplatform.com/company/72551a59-58f5-4f49-82cd-780b6e719a11/Citizens%20Financial/
CLX,CLOROX,CLOROX,,7104.0,7600.0,-31.0,81.0,-12.4,0.6,-5.4,0.3,-2.2,-0.5,6.8,-2.9,6.0,-1.8,0.0,,,https://uprightplatform.com/company/ea8157d5-9821-40c0-ac35-9fc06a5d9dd8/Clorox/
CMS,CMS ENERGY,CMS ENERGY,,8017.0,8324.0,-11.0,73.0,-28.9,6.2,-16.5,5.2,-4.4,-1.5,25.5,-2.6,0.5,-3.5,0.6,,,https://uprightplatform.com/company/b976fa0b-078b-43db-a445-e9c2c288d894/CMS%20Energy/
COHR,COHERENT,COHERENT,,6043.36,30216.0,12.0,57.0,-9.2,1.2,-4.0,0.8,-1.3,-0.3,10.4,-1.5,1.3,-2.8,2.9,,,https://uprightplatform.com/company/0885467f-4c2a-4922-bd98-2dd2f9850371/Coherent/
FIX,COMFORT SYSTEMS USA,COMFORT SYSTEMS USA,,3879.26,14100.0,32.0,40.0,-11.3,2.1,-6.1,1.4,-1.5,-0.5,16.5,-1.6,2.7,-1.8,1.1,,,https://uprightplatform.com/company/716ba5a0-3547-43de-a658-898daad9c442/Comfort%20Systems%20Usa/
COO,COOPER COMPANIES,COOPER COMPANIES,,4045.7,16000.0,53.0,19.0,-5.1,0.1,-2.5,,-0.2,-1.8,8.6,-2.5,15.7,-2.1,0.0,,,https://uprightplatform.com/company/d3b9d791-7a83-4880-9ea5-ec6ead76f2c5/Cooper%20Companies/
CPRT,COPART,COPART,,4646.96,11700.0,-19.0,76.0,-20.0,2.2,-10.5,1.5,-4.4,-0.3,18.1,-5.9,1.8,-3.5,3.1,,,https://uprightplatform.com/company/cdf49235-cef4-4943-ae48-c1c637803625/Copart/
CPAY,CORPAY,CORPAY,,3791.64,11200.0,21.0,49.0,-5.7,0.8,-2.8,0.6,-1.0,-0.2,13.2,-0.8,0.3,-5.1,0.8,,,https://uprightplatform.com/company/c6b1ede4-09e9-42df-a4b4-e6b04ca24717/Corpay/
CSGP,COSTAR,COSTAR,,2598.93,6593.0,50.0,21.0,-4.7,0.4,-2.3,0.3,-0.4,-0.1,16.3,-0.5,0.7,-4.1,1.2,,,https://uprightplatform.com/company/6fbf5a42-7b64-4498-96a5-04bfa6298fbc/CoStar/
